name,fullname,synonyms,three_letter_code,parent,drugbank_id,release_status
C77,"5'-deoxy-2',3'-O-(1-methylethylidene)-5'-(4-{5-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentyl}-1H-1,2,3-triazol-1-yl)adenosine",,C77,,,REL
C7G,"[(2~{R},3~{S},4~{S},5~{S})-5-(6-aminopurin-9-yl)-4-[(2~{S},3~{S},4~{S},5~{S})-5-[[[[(2~{R},3~{R},4~{S},5~{S})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxymethyl]-3,4-bis(oxidanyl)oxolan-2-yl]oxy-3-oxidanyl-oxolan-2-yl]methyl phosphono hydrogen phosphate",DIADPR,C7G,,,REL
C7J,"(3R,3aS,4R,6aS)-4-chlorohexahydrofuro[2,3-b]furan-3-yl [(2S,3R)-4-{[(4-aminophenyl)sulfonyl](2-methylpropyl)amino}-3-hydroxy-1-phenylbutan-2-yl]carbamate",,C7J,,,REL
C7L,"(3R,3aS,4R,6aR)-4-(2-methoxyethoxy)hexahydrofuro[2,3-b]furan-3-yl [(2S,3R)-4-{[(4-aminophenyl)sulfonyl](2-methylpropyl)amino}-3-hydroxy-1-phenylbutan-2-yl]carbamate",,C7L,,,REL
C7R,2'-deoxy-5'-O-thiophosphonocytidine,2'-deoxy-5'-O-thiophosphonocytidine (thiophospho connection isoform 1),C7R,DC,,REL
C7S,2'-deoxy-5'-O-thiophosphonocytidine,2'-deoxy-5'-O-thiophosphonocytidine (thiophospho connection isoform 2),C7S,DC,,REL
C7U,"(3R,3aS,4R,6aS)-4-chlorohexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-3-hydroxy-4-[{[2-(methylamino)-1,3-benzoxazol-6-yl]sulfonyl}(2-methylpropyl)amino]-1-phenylbutan-2-yl}carbamate",,C7U,,,REL
C7W,"(3R,3aS,4R,6aR)-4-(3,3,3-trifluoropropoxy)hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-3-hydroxy-4-[{[2-(methylamino)-1,3-benzoxazol-6-yl]sulfonyl}(2-methylpropyl)amino]-1-phenylbutan-2-yl}carbamate",,C7W,,,REL
C84,"[(2R,3R,4S,5S,6R)-6-(hydroxymethyl)-2,4,5-tris(oxidanyl)oxan-3-yl]oxy-N-[9-[(2R,3S,5R)-5-[[[(2R,3S)-4-methyl-2,3-bis(oxidanyl)pentanoyl]amino]-oxidanyl-phosphoryl]oxy-3-oxidanyl-oxolan-2-yl]purin-6-yl]phosphonamidic acid",Agrocin 84 (beta-D-glucopyranose form),C84,,,REL
C8F,"8-(4-fluorophenyl)-N-{(1S,2S,3R)-1-[(alpha-D-galactopyranosyloxy)methyl]-2,3-dihydroxyheptadecyl}octanamide","(2S,3S,4R)-N-4-FLUOROPHENYLOCTANOYL- 1-[(ALPHA-D-GALACTOPYRANOSYL)OXY]-2-AMINO-OCTADECANE-3,4-DIOL",C8F,,,REL
