name,fullname,synonyms,three_letter_code,parent,drugbank_id,release_status
NHW,2-oxopentadecyl-CoA,,NHW,,,REL
NIA,"((2R,3S,4R,5R)-5-(5-AMINO-4-NITRO-1H-IMIDAZOL-1-YL)-3,4-DIHYDROXYTETRAHYDROFURAN-2-YL)METHYL DIHYDROGEN PHOSPHATE",4-NITRO-5-AMINOIMIDAZOLE RIBONUCLEOTIDE<br> NITRO AIR,NIA,,,REL
NIR,"3-(AMINOCARBONYL)-1-[(3R,4S,5R)-3,4-DIHYDROXY-5-METHYLTETRAHYDRO-2-FURANYL]PYRIDINIUM",,NIR,,,REL
NJ1,"(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-4-[({4-[(1R)-1,2-dihydroxyethyl]phenyl}sulfonyl)(2-ethylbutyl)amino]-3-hydroxy-1-phenylbutan-2-yl}carbamate",,NJ1,,,REL
NJ4,"(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-3-hydroxy-4-[({4-[(1R)-1-hydroxyethyl]phenyl}sulfonyl)(2-methylpropyl)amino]-1-phenylbutan-2-yl}carbamate",,NJ4,,,REL
NJ5,"[[(2~{R},3~{S},4~{R},5~{R})-5-[2,4-bis(oxidanylidene)pyrimidin-1-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2~{R},3~{R},4~{R},5~{S},6~{R})-3-[6-(butanoylamino)hexanoylamino]-6-(hydroxymethyl)-4,5-bis(oxidanyl)oxan-2-yl] hydrogen phosphate",,NJ5,,,REL
NJ7,"(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl [(2S,3R)-4-{({4-[(1S)-1,2-dihydroxyethyl]phenyl}sulfonyl)[(2S)-2-methylbutyl]amino}-3-hydroxy-1-phenylbutan-2-yl]carbamate",,NJ7,,,REL
NJA,"(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-3-hydroxy-4-[({4-[(1S)-1-hydroxyethyl]phenyl}sulfonyl)(2-methylpropyl)amino]-1-phenylbutan-2-yl}carbamate",,NJA,,,REL
NJG,"(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl [(2S,3R)-4-{({4-[(1R)-1,2-dihydroxyethyl]phenyl}sulfonyl)[(2S)-2-methylbutyl]amino}-3-hydroxy-1-phenylbutan-2-yl]carbamate",,NJG,,,REL
NJJ,"(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-4-[({4-[(1S)-1,2-dihydroxyethyl]phenyl}sulfonyl)(2-ethylbutyl)amino]-3-hydroxy-1-phenylbutan-2-yl}carbamate",,NJJ,,,REL
NJM,"(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-3-hydroxy-4-[{[4-(hydroxymethyl)phenyl]sulfonyl}(2-methylpropyl)amino]-1-phenylbutan-2-yl}carbamate",,NJM,,,REL
NJP,5-hydroxy-NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE,5-hydroxy-NADP,NJP,,,REL
NJS,Itaconyl coenzyme A,,NJS,,,REL
NJY,"(3S,3aR,5R,7aS,8S)-hexahydro-4H-3,5-methanofuro[2,3-b]pyran-8-yl {(2S,3R)-1-(3-fluorophenyl)-3-hydroxy-4-[(2-methylpropyl)({2-[(propan-2-yl)amino]-1,3-benzoxazol-6-yl}sulfonyl)amino]butan-2-yl}carbamate",,NJY,,,REL
NK4,"(5S)-5'-O-(5-amino-5-deoxy-beta-D-ribofuranosyl)-5'-C-[(2S,5S,6S)-5-carboxy-6-heptadecyl-1,4-dimethyl-3-oxo-1,4-diazepan-2-yl]uridine",,NK4,,,REL
NKA,"(3S,3aR,5R,7aS,8S)-hexahydro-4H-3,5-methanofuro[2,3-b]pyran-8-yl {(2S,3R)-1-(4-fluorophenyl)-3-hydroxy-4-[(2-methylpropyl)({2-[(propan-2-yl)amino]-1,3-benzoxazol-6-yl}sulfonyl)amino]butan-2-yl}carbamate",,NKA,,,REL
NKD,"(2~{S})-2-[[(2~{S})-1-[[(2~{S},3~{S})-3-[[(2~{S})-2-azanyl-3-(3-hydroxyphenyl)propanoyl]-methyl-amino]-1-[[(~{Z})-[(3~{S},4~{R},5~{R})-5-[2,4-bis(oxidanylidene)pyrimidin-1-yl]-3,4-bis(oxidanyl)oxolan-2-ylidene]methyl]amino]-1-oxidanylidene-butan-2-yl]amino]-4-methylsulfanyl-1-oxidanylidene-butan-2-yl]carbamoylamino]-3-(3-hydroxyphenyl)propanoic acid",,NKD,,,REL
NKM,"(2~{S},3~{S},4~{S})-2-[(1~{R})-2-azanyl-1-[(2~{S},3~{S},4~{R},5~{R})-5-[2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-methoxy-4-oxidanyl-oxolan-2-yl]-2-oxidanylidene-ethoxy]-3,4-bis(oxidanyl)-~{N}-[(3~{S})-2-oxidanylideneazepan-3-yl]-3,4-dihydro-2~{H}-pyran-6-carboxamide",,NKM,,,REL
NKV,N-(2-methylpropanoyl)adenosine,,NKV,,,REL
NLC,2-(ACETYLAMINO)-2-DEOXY-4-O-BETA-D-GALACTOPYRANOSYL-ALPHA-D-GLUCOPYRANOSE,,NLC,,,OBS
NM6,2-acetamido-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-2-deoxy-beta-D-glucopyranose,"(2R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-2-(hydroxymethyl)-3,6-bis(oxidanyl)oxan-4-yl]oxypropanamide<br>
N-acetyl-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-beta-D-glucosamine<br>
2-acetamido-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-2-deoxy-beta-D-glucose<br>
2-acetamido-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-2-deoxy-D-glucose<br>
2-acetamido-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-2-deoxy-glucose
",NM6,NAG,,REL
NM9,methyl 2-acetamido-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-2-deoxy-beta-D-glucopyranoside,"(2R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-2-(hydroxymethyl)-6-methoxy-3-oxidanyl-oxan-4-yl]oxypropanamide<br> methyl
2-acetamido-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-2-deoxy-beta-D-glucoside<br> methyl
2-acetamido-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-2-deoxy-D-glucoside<br> methyl
2-acetamido-3-O-[(2R)-1-amino-1-oxopropan-2-yl]-2-deoxy-glucoside
",NM9,NAG,,REL
NMD,"N-NAPHTHALEN-1-YLMETHYL-2'-[3,5-DIMETHOXYBENZAMIDO]-2'-DEOXY-ADENOSINE",,NMD,,DB03331,REL
NMN,BETA-NICOTINAMIDE RIBOSE MONOPHOSPHATE,NICOTINAMIDE MONONUCLEOTIDE,NMN,,DB03227,REL
NMS,1-(O2-(2-METHYLAMINO-2-OXO-ETHYL)-O5-HYDROXYPHOSPHINYL-BETA-D-RIBOFURANOSYL)THYMINE,,NMS,DT,,REL
NMT,1-(O2-(METHYLCARBAMOYL)-O5-HYDROXYPHOSPHINYL-BETA-D-RIBOFURANOSYL)THYMINE,,NMT,DT,,REL
NMX,NITROMETHYLDETHIA COENZYME A,,NMX,,DB04230,REL
NMY,NEOMYCIN,MYCIFRADIN<br> NEOMAS<br> PIMAVECORT<br> VONAMYCIN,NMY,,DB00452,REL
NMZ,"(2S)-4-amino-N-{(1R,2S,3R,4R,5S)-5-amino-3-{[3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-beta-D-ribofuranosyl]oxy
}-4-[(2,6-diamino-2,4,6-trideoxy-4-fluoro-alpha-D-galactopyranosyl)oxy]-2-hydroxycyclohexyl}-2-hydroxybutanamide
",1-N-[(S)-4-Amino-2-hydroxybutanoyl]-4'-deoxy-4'-fluoro-4'-epineomycin,NMZ,,,REL
NNG,2-deoxy-2-{[(S)-hydroxy(methyl)phosphoryl]amino}-6-O-phosphono-alpha-D-glucopyranose,"N-ACETYLPHOSPHONOAMIDATE-D-GLUCOSAMINE-6-PHOSPHATE<br>
2-deoxy-2-{[(S)-hydroxy(methyl)phosphoryl]amino}-6-O-phosphono-alpha-D-glucose<br>
2-deoxy-2-{[(S)-hydroxy(methyl)phosphoryl]amino}-6-O-phosphono-D-glucose<br>
2-deoxy-2-{[(S)-hydroxy(methyl)phosphoryl]amino}-6-O-phosphono-glucose
",NNG,PA1,,REL
NNR,Nicotinamide riboside,3-(aminocarbonyl)-1-beta-D-ribofuranosylpyridinium,NNR,,DB14933,REL
NO7,9-{5-O-[(S)-hydroxy(phosphonooxy)phosphoryl]-alpha-D-ribofuranosyl}-N-(prop-2-yn-1-yl)-9H-purin-6-amine,,NO7,,,REL
NO8,"(2~{S})-~{N}-[2-[[(2~{S})-1-[[(2~{S},3~{R})-3-[(2~{S},3~{R},4~{R},5~{R},6~{R})-3-acetamido-6-(hydroxymethyl)-4,5-bis(oxidanyl)oxan-2-yl]oxy-1-[[(2~{S})-1-[(2~{S})-2-aminocarbonylpyrrolidin-1-yl]-1-oxidanylidene-propan-2-yl]amino]-1-oxidanylidene-butan-2-yl]amino]-3-oxidanyl-1-oxidanylidene-propan-2-yl]amino]-2-oxidanylidene-ethyl]-1-[(2~{S})-2-azanylpropanoyl]pyrrolidine-2-carboxamide",,NO8,,,REL
NOD,N-ETHYLHYDROXY-DOXORUBICIN,,NOD,,,REL
NOH,"2'-deoxy-N-hydroxycytidine 5'-(dihydrogen phosphate)
",,NOH,,,REL
NOM,"7-HYDROXY-5-METHYL-3,3A,5,11B-TETRAHYDRO-1,4-DIOXA-CYCLOPENTA[A]ANTHRACENE-2,6,11-TRIONE",NANAOMYCIN D,NOM,,DB01668,REL
NOS,INOSINE,,NOS,,DB04335,REL
NOV,NOVOBIOCIN,"4-Hydroxy-3-[4-hydroxy-3-(3-methylbut-2-enyl)benzamido]-8-methylcoumarin-7-yl
3-O-carbamoyl-5,5-di-C-methyl-alpha-l-lyxofuranoside
",NOV,,DB01051,REL
NP3,1-[2-DEOXY-RIBOFURANOSYL]-1H-[3-NITRO-PYRROL]-5'-PHOSPHATE,,NP3,,,REL
NP6,"[[(3R,4R,5S,6R)-3-(BUTANOYLAMINO)-4,5-DIHYDROXY-6-(HYDROXYMETHYL)OXAN-2-YLIDENE]AMINO] N-PHENYLCARBAMATE",,NP6,,DB07432,REL
NPF,2-nitrophenyl beta-D-fucopyranoside,"ORTHONITROPHENYL-BETA-D-FUCOPYRANOSIDE<br> 2-nitrophenyl 6-deoxy-beta-D-galactopyranoside<br> 2-nitrophenyl beta-D-fucoside<br>
2-nitrophenyl D-fucoside<br> 2-nitrophenyl fucoside
",NPF,FCB,DB08297,REL
NPJ,4-NITROPHENYL 4-O-ALPHA-D-GLUCOPYRANOSYL-ALPHA-D-GALACTOPYRANOSIDE,P-NITROPHENYL MALTOSIDE,NPJ,,,REL
NPW,"BETA-6-HYDROXY-1,4,5,6-TETRAHYDRONICOTINAMIDE ADENINE DINUCLEOTIDE PHOSPHATE",,NPW,,,REL
NRB,NARBOMYCIN,,NRB,,,REL
NSG,"(2S,3aR,5R,6R,7R,7aR)-5-(hydroxymethyl)-2-methyl-2,3a,5,6,7,7a-hexahydro-1H-pyrano[3,2-d][1,3]thiazole-6,7-diol",,NSG,,,REL
NSQ,4-nitrophenyl alpha-D-6-sulfoquinovoside,4-NITROPHENYL-ALPHA-D-SULFOQUINOVOSIDE,NSQ,G6D,,REL
NSS,5'-O-[N-(L-ASPARAGINYL)SULFAMOYL]ADENOSINE,ASN-SA,NSS,,,REL
NT1,HEPARIN HEPTASACCHARIDE,,NT1,,,OBS
NT2,"2,3,4,6-TETRA-O-SULFOHEXOPYRANOSE",,NT2,,,OBS
NTF,N-(trifluoroacetyl)-beta-D-glucopyranosylamine,"N-TRIFLURO-ACETYL-BETA-D-GLUCOPYRANOSYLAMINE<br> N-(trifluoroacetyl)-beta-D-glucosylamine<br>
N-(trifluoroacetyl)-D-glucosylamine<br> N-(trifluoroacetyl)-glucosylamine
",NTF,,,REL
NTL,"N-[(2S,3R)-2-{[(1R,2S,3S,4R,6S)-6-amino-3-{[3-deoxy-4-C-methyl-3-(methylamino)-beta-L-lyxopyranosyl]oxy}-4-(ethylamino)
-2-hydroxycyclohexyl]oxy}-6-(aminomethyl)-3,4-dihydro-2H-pyran-3-yl]acetamide
",acetylated-netilmicin,NTL,,,REL
NTO,TRISULFOAMINO HEPARIN PENTASACCHARIDE,Fondaparinux,NTO,,,OBS
NTP,HEPARIN PENTASACCHARIDE,,NTP,,,OBS
NTT,"[(1R,5R,7R,8S)-8-hydroxy-3-methyl-7-(5-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)-2,6-dioxa-3-azabicyclo[3.2.1]oct-5-yl]methyl dihydrogen phosphate",,NTT,DT,,REL
NUP,"6-AMINOURIDINE 5'-MONOPHOSPHATE
",,NUP,,,REL
NVG,4-AMINO-1-(5-{[3-(1H-BENZIMIDAZOL-2-YL)PROPANOYL]AMINO}-5-DEOXY-ALPHA-L-LYXOFURANOSYL)PYRIMIDIN-2(1H)-ONE,,NVG,,,REL
NWQ,"(2~{S},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-~{N}-methyl-3,4-bis(oxidanyl)oxolane-2-carboxamide",,NWQ,,,REL
NWS,Moco-AMP,,NWS,,,REL
NWW,"(2~{S},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolane-2-carboxamide",,NWW,,,REL
NWX,"[[(2~{R},3~{S},4~{R},5~{R})-5-(4-azanylpyrrolo[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] phosphono hydrogen phosphate",Remdesivir triphosphate,NWX,,,REL
NWZ,"(2~{S},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)-~{N}-piperidin-4-yl-oxolane-2-carboxamide",,NWZ,,,REL
NX8,"(2~{S},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)-~{N}-(piperidin-4-ylmethyl)oxolane-2-carboxamide",,NX8,,,REL
NXB,"(2~{R},3~{R},4~{R},5~{R})-2-[(6-aminopurin-9-yl)methyl]-5-azanyl-oxane-3,4-diol",,NXB,,,REL
NXD,"methyl 5-acetamido-9-{[amino(oxo)acetyl]amino}-3,5,9-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid","METHYL 5-(ACETYLAMINO)-9-{[AMINO(OXO)ACETYL]AMINO}-3,5,9-TRIDEOXY-D-GLYCERO-ALPHA-D-GLUCO-NON-2-ULOPYRANOSIDONIC ACID<br>
ALPHA METHYL -9-(AMINOOXALYL-AMINO)-9-DEOXYNEU5AC<br> OXAMIDO-NEU5AC<br> methyl
5-acetamido-9-{[amino(oxo)acetyl]amino}-3,5,9-trideoxy-D-glycero-alpha-D-galacto-non-2-ulosidonic acid<br> methyl
5-acetamido-9-{[amino(oxo)acetyl]amino}-3,5,9-trideoxy-D-glycero-D-galacto-non-2-ulosidonic acid<br> methyl
5-acetamido-9-{[amino(oxo)acetyl]amino}-3,5,9-trideoxy-D-glycero-galacto-non-2-ulosidonic acid
",NXD,,,REL
NXX,"1-[(2R,3R,4S,5R)-5-({[(R)-{[(R)-{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methoxy}(hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]oxy}methyl)-3,4-dihydroxytetrahydrofuran-2-yl]-3-carboxypyridinium",,NXX,,DB04099,REL
NYT,beta-D-fructofuranosyl-(2->1)-beta-D-fructofuranosyl-(2->1)-beta-D-fructofuranosyl alpha-D-glucopyranoside,Nystose,NYT,,,OBS
NYW,"[[(2~{R},3~{S},4~{R},5~{R})-5-[2,6-bis(azanyl)purin-9-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]methylphosphonic acid",,NYW,,,REL
NYZ,"[[(2~{R},3~{S},4~{R},5~{R})-5-(6-azanyl-2-oxidanylidene-3~{H}-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]methylphosphonic acid",,NYZ,,,REL
NZI,"[(2~{R},3~{S},5~{R})-3-oxidanyl-5-(2-oxidanylidene-3~{H}-benzimidazol-1-yl)oxolan-2-yl]methyl [oxidanyl(phosphonooxy)phosphoryl] hydrogen phosphate",,NZI,,,REL
NZQ,"5,6-DIHYDROXY-NADP",,NZQ,,DB02319,REL
NZY,"N-[(3S,4R,5S,6R)-4,5-dihydroxy-6-({[(2S,3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]methoxy}methyl)tetrahydro-2H-pyran-3-yl]acetamide (non-preferred name)",,NZY,,,REL
O02,"[[(2~{R},3~{S},4~{R},5~{R})-5-(6-azanyl-2-diazanyl-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]methylphosphonic acid",,O02,,,REL
O04,(E)-4-((tetrahydro-2H-pyran-2-yloxyimino)methyl)benzimidamide,,O04,,,REL
O05,"[[(2~{R},3~{S},4~{R},5~{R})-5-(6-azanyl-2-piperazin-4-ium-1-yl-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]methylphosphonic acid",,O05,,,REL
O1G,"3-deoxy-3-[(E)-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)amino]-6-O-phosphono-alpha-D-gluco
 pyranose
","3-deoxy-3-[(E)-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)amino]-6-O-phosphono-alpha-D-gluco
 se<br>
3-deoxy-3-[(E)-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)amino]-6-O-phosphono-D-glucose<br>
3-deoxy-3-[(E)-({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methylidene)amino]-6-O-phosphono-glucose
",O1G,,,REL
O1T,"[[(2~{R},3~{S},4~{R},5~{R})-5-[6-chloranyl-4-[[(1~{S})-1-(4-fluorophenyl)ethyl]amino]pyrazolo[3,4-b]pyridin-1-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]methylphosphonic acid",,O1T,,,REL
O2C,3'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE,,O2C,,,REL
O2G,"2'-DEOXY-N,N-DIMETHYL-5'-O-[OXIDO(OXO)PHOSPHONIO]GUANOSINE",,O2G,G,,REL
O2Z,"[(2~{R},3~{S},4~{R},5~{R})-5-(2-azanyl-6-diazanyl-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxyphosphinic acid",,O2Z,A,,REL
O5W,"[(3~{S},5~{R})-5-(6-azanyl-1-methyl-purin-9-yl)-2-(phosphonooxymethyl)oxolan-3-yl] [(2~{R},3~{S},5~{R})-5-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-oxidanyl-oxolan-2-yl]methyl hydrogen phosphate","[(1~{R},3~{R})-1-(6-azanyl-1-methyl-purin-9-yl)-1-oxidanyl-5-phosphonooxy-pentan-3-yl] [(2~{R},3~{S},5~{R})-5-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-oxidanyl-oxolan-2-yl]methyl hydrogen phosphate",O5W,,,REL
O7E,"6-(ethoxycarbonyl)uridine 5'-(dihydrogen phosphate)
",,O7E,,,REL
O7M,"6-(methoxycarbonyl)uridine 5'-(dihydrogen phosphate)
",,O7M,,,REL
O84,"[(2~{R},4~{a}~{R},6~{R},7~{a}~{R})-6-[2,4-bis(oxidanylidene)-5-[(~{E})-3-phosphonoprop-1-enyl]pyrimidin-1-yl]-2-phenyl-4~{a},6,7,7~{a}-tetrahydro-4~{H}-furo[3,2-d][1,3]dioxin-2-yl]phosphonic acid",,O84,,,REL
O8M,"2-[{[(2R,3S,4R,5R)-5-(6-amino-8-methyl-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}(methyl)amino]acetamide",5'-[(carboxamidomethyl)methylamino]-5'-deoxy-8-methyladenosine,O8M,,,REL
OA8,"{[(2R,3S,4R,5S,6S)-3-(acetyloxy)-5-acetamido-4,6-dihydroxyoxan-2-yl]methoxy}phosphonic acid",,OA8,,,REL
OA9,Mesaconyl Coenzme A,"(~{E})-4-[2-[3-[[(2~{R})-4-[[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-4-oxidanyl-3-phosphonooxy-oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxy-3,3-dimethyl-2-oxidanyl-butanoyl]amino]propanoylamino]ethylsulfanyl]-3-methyl-4-oxidanylidene-but-2-enoic acid<br> Mesaconyl-CoA<br> 2-methylfumaroyl-CoA",OA9,COA,,REL
OAB,"{[(2R,3S,4R,5S,6S)-5-acetamido-3,6-dihydroxy-4-(2-oxopropyl)oxan-2-yl]methoxy}phosphonic acid",,OAB,,,REL
OAD,"2'-O-ACETYL ADENOSINE-5-DIPHOSPHORIBOSE
",,OAD,,DB03478,REL
OAH,9-(2-deoxy-5-O-phosphono-alpha-D-threo-pentofuranosyl)-9H-purin-6-amine,,OAH,,,REL
OAK,N-(phenylcarbonyl)-beta-D-glucopyranosylamine,N-(phenylcarbonyl)-beta-D-glucosylamine<br> N-(phenylcarbonyl)-D-glucosylamine<br> N-(phenylcarbonyl)-glucosylamine,OAK,,,REL
OAN,O-(2-ACETAMIDO-2-DEOXY D-GLUCOPYRANOSYLIDENE) AMINO-N-PHENYLCARBAMATE,PUGNAc,OAN,,,REL
OBL,5-Methoxybenzimidazolyl-norcobamide,,OBL,,,REL
OBN,OUABAIN,,OBN,,DB01092,REL
OD8,"(2~{R},3~{S},4~{S},5~{R},6~{S})-2-(hydroxymethyl)-6-[[(1~{S},3~{R},6~{S},7~{S},8~{R},9~{R},10~{R},11~{R},14~{S})-14-(me
thoxymethyl)-3,10-dimethyl-9-oxidanyl-6-propan-2-yl-8-tricyclo[9.3.0.0^{3,7}]tetradecanyl]oxy]oxane-3,4,5-triol
",16-OMe-Fusicoccin H,OD8,,,REL
ODP,4-OXO-NICOTINAMIDE-ADENINE DINUCLEOTIDE PHOSPHATE,,ODP,,DB01753,REL
OFC,4-amino-1-(2-deoxy-2-fluoro-5-O-phosphono-beta-L-ribofuranosyl)pyrimidin-2(1H)-one,,OFC,,,REL
OGN,"[(Z)-[(3R,4R,5R,6R)-3-acetamido-6-(hydroxymethyl)-4,5-bis(oxidanyl)oxan-2-ylidene]amino] N-phenylcarbamate",Gal-PUGNAc,OGN,,,REL
OGS,4-octylphenyl 6-O-sulfo-alpha-D-glucopyranoside,,OGS,,,REL
OGT,"2-ETHOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL",,OGT,,,REL
OH6,"~{S}-[2-[3-[[(2~{R})-4-[[[(2~{R},3~{R},4~{R},5~{R})-5-(6-aminopurin-9-yl)-4-oxidanyl-3-phosphonooxy-oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxy-3,3-dimethyl-2-oxidanyl-butanoyl]amino]propanoylamino]ethyl] (~{Z})-hexadec-9-enethioate",Palmitoleoyl-CoA,OH6,,,REL
OH9,beta-methyl-adenosine diphosphate,"[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] methyl hydrogen phosphate<br> [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] methyl hydrogen phosphate<br> beta-methyl-ADP",OH9,,,REL
OHR,"2'-deoxyadenosine 5'-diphosphoribose
","[[(2~{R},3~{S},5~{R})-5-(6-aminopurin-9-yl)-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2~{R},3~{S},4~{R},5~{S})-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate<br> [[(2R,3S,5R)-5-(6-aminopurin-9-yl)-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2R,3S,4R,5S)-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate<br> 2'-deoxy-ADPR
",OHR,,,REL
OHU,"2'-deoxy-5-hydroxyuridine 5'-(dihydrogen phosphate)
",,OHU,DU,,REL
OI3,"2'-deoxyadenosine 5'-fluoro-diphosphoribose
","[[(2~{R},3~{R},4~{R},5~{R})-5-(6-aminopurin-9-yl)-4-fluoranyl-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2~{R},3~{S},4~{R},5~{R})-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate<br> [[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-4-fluoranyl-3-oxidanyl-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2R,3S,4R,5R)-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate<br> 2'-deoxy-2'-fluoro-ADPR
",OI3,,,REL
OI6,"8-bromoadenosine 5'-diphosphoribose
","[[(2~{R},3~{S},4~{R},5~{R})-5-(6-azanyl-8-bromanyl-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2~{R},3~{S},4~{R},5~{R})-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate<br> [[(2R,3S,4R,5R)-5-(6-azanyl-8-bromanyl-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2R,3S,4R,5R)-3,4,5-tris(oxidanyl)oxolan-2-yl]methyl hydrogen phosphate<br> 8Br-ADPR",OI6,,,REL
OI7,"1,7-di-O-phosphono-beta-D-altro-hept-2-ulofuranose","1,7-di-O-phosphono-beta-D-altro-hept-2-ulose<br> 1,7-di-O-phosphono-D-altro-hept-2-ulose<br>
1,7-di-O-phosphono-altro-hept-2-ulose
",OI7,,,REL
OI9,Streptothricin F,,OI9,,,REL
OIG,beta-ethyl-adenosine diphosphate,"[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] ethyl hydrogen phosphate<br> [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] ethyl hydrogen phosphate<br> beta-ethyl-ADP",OIG,,,REL
OIP,"2'-DEOXY-INOSINIC ACID
",,OIP,DI,,OBS
OIQ,"[(1R,3R,4R,7S)-5-[(E)-N,N'-dimethylcarbamimidoyl]-3-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-7-oxidanyl-2-oxa-5-azabicyclo[2.2.1]heptan-1-yl]methyl dihydrogen phosphate
",,OIQ,,,REL
OIY,Streptothricin D,,OIY,,,REL
OJB,"5-[(2~{R},3~{R},4~{R},5~{R},6~{R})-3-acetamido-6-(hydroxymethyl)-4,5-bis(oxidanyl)oxan-2-yl]oxy-~{N}-[3-(propanoylamino)propyl]pentanamide",,OJB,,,REL
